"GEOID","NAME","Total","H_Total","majority","hispanic","group"
"06037134305","Census Tract 1343.05, Los Angeles County, California",4183,3473,"H_Other",1,"3001-4500"
"06037134520","Census Tract 1345.20, Los Angeles County, California",6065,4452,"H_Other",1,"6001-7500"
"06037134521","Census Tract 1345.21, Los Angeles County, California",3691,3327,"H_Other",1,"3001-4500"
"06037134522","Census Tract 1345.22, Los Angeles County, California",4167,3228,"H_Other",1,"3001-4500"
"06037134710","Census Tract 1347.10, Los Angeles County, California",5836,3882,"H_Other",1,"4501-6000"
"06037134720","Census Tract 1347.20, Los Angeles County, California",5074,2363,"H_Other",1,"4501-6000"
"06037134903","Census Tract 1349.03, Los Angeles County, California",6919,3560,"H_Other",1,"6001-7500"
"06037134904","Census Tract 1349.04, Los Angeles County, California",4043,2211,"H_Other",1,"3001-4500"
"06037183220","Census Tract 1832.20, Los Angeles County, California",4155,2682,"H_Other",1,"3001-4500"
"06037183221","Census Tract 1832.21, Los Angeles County, California",3522,2522,"H_Other",1,"3001-4500"
"06037183300","Census Tract 1833, Los Angeles County, California",3487,2177,"H_Other",1,"3001-4500"
"06037183401","Census Tract 1834.01, Los Angeles County, California",2531,1434,"H_Other",1,"1500-3000"
"06037183520","Census Tract 1835.20, Los Angeles County, California",3758,2986,"H_Other",1,"3001-4500"
"06037183810","Census Tract 1838.10, Los Angeles County, California",4163,3353,"H_Other",1,"3001-4500"
"06037183820","Census Tract 1838.20, Los Angeles County, California",3445,2612,"H_Other",1,"3001-4500"
"06037185203","Census Tract 1852.03, Los Angeles County, California",3566,2762,"H_Other",1,"3001-4500"
"06037185320","Census Tract 1853.20, Los Angeles County, California",2991,2522,"H_Other",1,"1500-3000"
"06037186401","Census Tract 1864.01, Los Angeles County, California",3489,2775,"H_Other",1,"3001-4500"
"06037186403","Census Tract 1864.03, Los Angeles County, California",2698,1747,"H_Other",1,"1500-3000"
"06037186404","Census Tract 1864.04, Los Angeles County, California",2631,1819,"H_Other",1,"1500-3000"
"06037187102","Census Tract 1871.02, Los Angeles County, California",3739,2087,"H_Other",1,"3001-4500"
"06037188100","Census Tract 1881, Los Angeles County, California",3918,2221,"H_Other",1,"3001-4500"
"06037190802","Census Tract 1908.02, Los Angeles County, California",2982,1328,"H_Other",1,"1500-3000"
"06037190901","Census Tract 1909.01, Los Angeles County, California",4587,3568,"H_Other",1,"4501-6000"
"06037190902","Census Tract 1909.02, Los Angeles County, California",3518,2018,"H_Other",1,"3001-4500"
"06037191120","Census Tract 1911.20, Los Angeles County, California",3900,1828,"H_Other",1,"3001-4500"
"06037191204","Census Tract 1912.04, Los Angeles County, California",2033,970,"H_Other",1,"1500-3000"
"06037191301","Census Tract 1913.01, Los Angeles County, California",2224,1274,"H_Other",1,"1500-3000"
"06037191302","Census Tract 1913.02, Los Angeles County, California",1947,1016,"H_Other",1,"1500-3000"
"06037191410","Census Tract 1914.10, Los Angeles County, California",4646,2770,"H_Other",1,"4501-6000"
"06037191420","Census Tract 1914.20, Los Angeles County, California",3096,1938,"H_Other",1,"3001-4500"
"06037191500","Census Tract 1915, Los Angeles County, California",5931,3559,"H_Other",1,"4501-6000"
"06037191610","Census Tract 1916.10, Los Angeles County, California",4237,2432,"H_Other",1,"3001-4500"
"06037191620","Census Tract 1916.20, Los Angeles County, California",2532,1603,"H_Other",1,"1500-3000"
"06037191710","Census Tract 1917.10, Los Angeles County, California",2937,1901,"H_Other",1,"1500-3000"
"06037191720","Census Tract 1917.20, Los Angeles County, California",3224,2275,"H_Other",1,"3001-4500"
"06037191810","Census Tract 1918.10, Los Angeles County, California",3367,2279,"H_Other",1,"3001-4500"
"06037192420","Census Tract 1924.20, Los Angeles County, California",4280,2160,"H_Other",1,"3001-4500"
"06037192520","Census Tract 1925.20, Los Angeles County, California",5269,4052,"H_Other",1,"4501-6000"
"06037192610","Census Tract 1926.10, Los Angeles County, California",3703,2572,"H_Other",1,"3001-4500"
"06037192620","Census Tract 1926.20, Los Angeles County, California",3542,2520,"H_Other",1,"3001-4500"
"06037192700","Census Tract 1927, Los Angeles County, California",3449,2146,"H_Other",1,"3001-4500"
"06037195710","Census Tract 1957.10, Los Angeles County, California",4487,2897,"H_Other",1,"3001-4500"
"06037195720","Census Tract 1957.20, Los Angeles County, California",2000,1262,"H_Other",1,"1500-3000"
"06037195802","Census Tract 1958.02, Los Angeles County, California",2691,1596,"H_Other",1,"1500-3000"
"06037199000","Census Tract 1990, Los Angeles County, California",5391,3587,"H_Other",1,"4501-6000"
"06037199110","Census Tract 1991.10, Los Angeles County, California",2705,2393,"H_Other",1,"1500-3000"
